Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-11-01,7,2,Hack and Slash|Action|RPG|Arcade|Co-op
2024-12-01,3,1,Hack and Slash|Action|RPG|Arcade|Co-op
2025-01-01,1,0,Hack and Slash|Action|RPG|Arcade|Co-op
2025-02-01,5,4,Hack and Slash|Action|RPG|Arcade|Co-op
2025-03-01,3,3,Hack and Slash|Action|RPG|Arcade|Co-op
2025-04-01,2,1,Hack and Slash|Action|RPG|Arcade|Co-op
2025-05-01,0,1,Hack and Slash|Action|RPG|Arcade|Co-op
2025-06-01,3,3,Hack and Slash|Action|RPG|Arcade|Co-op
2025-07-01,1,1,Hack and Slash|Action|RPG|Arcade|Co-op
2025-08-01,2,2,Hack and Slash|Action|RPG|Arcade|Co-op
2025-09-01,3,6,Hack and Slash|Action|RPG|Arcade|Co-op
2025-10-01,1,2,Hack and Slash|Action|RPG|Arcade|Co-op
2025-11-01,3,4,Hack and Slash|Action|RPG|Arcade|Co-op
2025-12-01,2,1,Hack and Slash|Action|RPG|Arcade|Co-op
2026-01-01,6,0,Hack and Slash|Action|RPG|Arcade|Co-op
2026-02-01,4,2,Hack and Slash|Action|RPG|Arcade|Co-op
2026-03-01,0,2,Hack and Slash|Action|RPG|Arcade|Co-op
2026-04-01,4,0,Hack and Slash|Action|RPG|Arcade|Co-op
